file,r,g,b
185,147,138,128
141,57,53,48
951,74,77,90
233,67,72,71
973,37,26,60
378,33,35,63
291,56,51,122
151,115,98,102
1055,133,165,225
325,73,74,86
184,101,126,155
440,40,38,40
715,42,32,50
791,48,43,40
39,163,161,163
582,48,46,75
428,57,49,43
241,60,46,43
1235,92,88,90
465,82,72,58
946,59,57,55
906,81,75,132
355,125,73,106
470,39,20,100
1247,30,24,31
45,53,45,45
110,96,147,172
1093,154,118,100
1261,56,41,26
591,107,105,108
553,77,96,104
981,96,94,87
784,105,87,89
352,40,83,96
328,95,64,174
1059,77,63,74
191,70,90,113
562,131,174,236
349,48,48,102
363,100,111,115
282,44,26,83
425,95,91,109
615,39,31,65
573,2,57,192
485,62,64,73
124,142,170,166
960,52,37,67
1277,74,63,60
794,115,112,125
603,64,69,34
263,126,101,113
353,33,59,70
912,76,47,130
266,124,74,161
88,100,112,99
995,92,93,93
821,16,96,119
441,41,41,30
1207,67,34,92
560,63,68,87
564,85,31,96
828,50,42,69
213,145,134,139
624,61,65,80
1073,81,79,83
1072,74,78,100
419,62,35,93
183,75,102,138
890,127,61,217
1032,105,88,137
968,70,65,58
1217,95,83,93
949,143,137,131
498,160,140,145
778,83,65,43
1082,111,93,124
972,56,47,45
1159,68,70,78
619,58,18,21
522,54,51,79
478,71,75,71
504,57,25,85
1246,112,107,108
297,145,149,148
293,37,32,45
747,88,74,112
674,100,88,97
109,78,70,70
838,31,22,21
1132,112,94,81
267,75,61,53
780,71,50,103
19,82,42,140
290,44,47,52
274,138,126,121
524,146,130,123
329,69,120,203
769,143,135,133
773,34,27,18
742,56,42,96
285,61,31,122
731,121,91,154
1186,58,54,99
1103,14,42,68
812,63,59,151
295,107,135,189
976,51,60,73
338,93,134,176
1075,79,74,108
35,165,162,165
1094,147,148,151
998,22,39,97
1024,133,137,140
228,98,37,33
848,51,36,80
759,84,82,84
1164,57,55,75
597,87,61,78
539,80,63,73
523,135,120,139
417,83,84,85
533,113,109,106
173,149,160,171
1079,57,55,60
892,80,78,83
